id,title,title_fr
11099,Building Materials,Matériaux de construction
11100,Bulgarian Restaurant,Restaurant bulgare
11101,Bunsik Restaurant,Restaurant Bunsik
11102,Burger Restaurant,Restaurant de hamburgers
11103,Burmese Restaurant,Restaurant Birman
11104,Bus Line,Ligne d'autobus
11105,Bus Station,Station de bus
11106,Bus Tour Agency,Agence d'excursions en bus
11107,Business,Entreprise
11108,Business & Economy Website,Site Web d'affaires et d'économie
11109,Business & Utility Services,Services aux entreprises et services publics
11110,Business Center,Centre d'affaires
11111,Business Consultant,Consultant en affaires
11112,Business Service,Service d'affaires
11113,Business Supply Service,Service d'approvisionnement des entreprises
11114,Businesses,Entreprises
11115,Butcher Shop,Boucherie
12000,Cabin,Cabine
12001,Cabinet & Countertop Store,Magasin d'armoires et de comptoirs
12002,Cable & Satellite Company,Entreprise de câble et de satellite
12003,Cafe,Café
12004,Cafeteria,Cafétéria
12005,Cajun & Creole Restaurant,Restaurant Cajun & Créole
12006,Calabrian Restaurant,Restaurant Calabrais
12007,Cambodian Restaurant,Restaurant cambodgien
12008,Camera Store,Magasin d'appareils photo
12009,Camera/Photo,Appareil photo/Photo
12010,Campground,Camping
12011,Campus Building,Bâtiment du campus
12012,Canadian Restaurant,Restaurant Canadien
12013,Canal,Canal
12014,Candy Store,Magasin de friandises
12015,Canoe & Kayak Rental,Location de canoë et kayak
12016,Cantonese Restaurant,Restaurant Cantonais
12017,Capitol Building,Bâtiment du Capitole
12018,Car Dealership,Concessionnaire automobile
12019,Car Rental,Location de voiture
12020,Car Stereo Store,Magasin d'autoradio
12021,Car Wash,Lave-Auto
12022,Cardiologist,Cardiologue
12023,Career Counselor,Conseiller d'orientation
12024,Cargo & Freight Company,Compagnie de fret et de fret
12025,Caribbean Restaurant,Restaurant caribéen
12026,Carnival Supply Store,Magasin de fournitures de carnaval
12027,Carpenter,Menuisier
12028,Carpet & Flooring Store,Magasin de tapis et de revêtements de sol
12029,Carpet Cleaner,Nettoyeur de tapis
12030,Cars,Voitures
12031,Cash Advance Service,Service d'avance de fonds
12032,Casino,Casino
12033,Casino & Gaming,Casinos et jeux
12034,Castle,Château
12035,Catalan Restaurant,Restaurant catalan
12036,Caterer,Traiteur
12037,Catholic Church,église catholique
12038,Cause,Cause
12039,Cave,Grotte
12040,Cemetery,Cimetière
12041,Chaat Place,Lieu de chat
12042,Champagne Bar,Bar à Champagne
12043,Charismatic Church,Église charismatique
12044,Charity Organization,Organisation caritative
12045,Charter Bus Service,Service d'autobus nolisé
12046,Cheese Shop,Fromagerie
12047,Chef,Chef
12048,Chemical Company,Société de produits chimiques
12049,Chicken Joint,Rôti de poulet
12050,Child Care Service,Service de garde d'enfants
12051,Child Protective Service,Service de protection de l'enfance
12052,Children’s Museum,Musée des enfants
12053,Chilean Restaurant,Restaurant chilien
12054,Chimney Sweeper,Ramoneur
12055,Chinese Restaurant,Restaurant chinois
12056,Chiropractor,Chiropracteur
12057,Chocolate Shop,Boutique de chocolat
12058,Choir,Chorale
12059,Christian Church,église chrétienne
12060,Christian Science Church,Église de la science chrétienne
12061,Church,Église
12062,Church of Christ,L'Église du Christ
12063,Church of God,Église de Dieu
12064,Church of Jesus Christ of Latter-day Saints,Église de Jésus-Christ des Saints des Derniers Jours
12065,Circus,Cirque
12066,City,Ville
12067,City Hall,Mairie
12068,City Infrastructure,Infrastructures de la ville
12069,Civilization Museum,Musée de la civilisation
12070,Cleaning Service,Service de nettoyage
12071,Clothing (Brand),Marque de vêtements)
12072,Clothing Company,Compagnie de vêtements
12073,Clothing Store,Magasin de vêtements
12074,Coach,Entraîneur
12075,Cocktail Bar,Bar à cocktails
12076,Coffee Shop,Café
12077,Collectibles Store,Boutique d'objets de collection
12078,Collection Agency,Agence de recouvrement
12079,College / University Bookstore,Librairie collégiale/universitaire
12080,College & University,Collège & Université
12081,Colombian Restaurant,Restaurant colombien
12082,Color,Couleur
12083,Comedian,Comédien
12084,Comedy Club,Club de comédie
12085,Comfort Food Restaurant,Restaurant de cuisine réconfortante
12086,Comic Bookstore,Librairie BD
12087,Commercial & Industrial,Commercial & Industriel
12088,Commercial & Industrial Equipment Supplier,Fournisseur d'équipements commerciaux et industriels
12089,Commercial Bank,Banque commerciale
12090,Commercial Equipment,Équipement commercial
12091,Commercial Real Estate Agency,Agence immobilière commerciale
12092,Commercial Truck Dealership,Concessionnaire de camions commerciaux
12093,Community,Communauté
12094,Community Center,Centre communautaire
12095,Community College,Collège communautaire
12096,Community Garden,Jardin communautaire
12097,Community Museum,Musée communautaire
12098,Community Organization,Organisme communautaire
12099,Community Service,Service publique
12100,Company,Compagnie
12101,Competition,Concurrence
12102,Computer Company,Compagnie informatique
12103,Computer Repair Service,Service de réparation d'ordinateurs
12104,Computer Store,Magasin d'informatique
12105,Computer Training School,École de formation en informatique
12106,Computers (Brand),Ordinateurs (Marque)
12107,Computers & Internet Website,Ordinateurs et site Internet
12108,Concentration or Major,Concentration ou Majeure
12109,Concert Tour,Tournée de concerts
12110,Concrete Contractor,Entrepreneur Béton
12111,Congregational Church,Église congrégationaliste
12112,Construction Company,Compagnie de construction
12113,Consulate & Embassy,Consulat & Ambassade
12114,Consulting Agency,Agence de conseil
12115,Contemporary Art Museum,Musée d'art contemporain
12116,Content & Apps,Contenu et applications
12117,Continental Restaurant,Restaurant Continental
12118,Contract Lawyer,Avocat contractuel
12119,Contractor,Prestataire
12120,Convenience Store,Épicerie
12121,Convent & Monastery,Couvent & Monastère
12122,Convention Center,Palais des Congrès
12123,Cooking School,École de cuisine
12124,Copywriting Service,Service de rédaction
12125,Corporate Lawyer,Avocat d'entreprise
12126,Corporate Office,Siège social
12127,Cosmetic Dentist,Dentiste Cosmétique
12128,Cosmetics Store,Magasin de cosmétiques
12129,Cosmetology School,École de cosmétologie
12130,Costa Rican Restaurant,Restaurant costaricien
12131,Costume Shop,Boutique de costumes
12132,Cottage,Cottage
12133,Counselor,Conseiller
12134,Country,Pays
12135,Country Club / Clubhouse,Country Club / Clubhouse
12136,Country/Region,Pays/Région
12137,County,Comté
12138,Course,Cours
12139,Courthouse,Tribunal
12140,Crêperie,Crêperie
12141,Creators & Celebrities,Créateurs & Célébrités
12142,Credit Counseling Service,Service de conseil en crédit
12143,Credit Union,Caisse
12144,Cricket Ground,Terrain de cricket
12145,Criminal Lawyer,Avocat criminaliste
12146,Crisis Prevention Center,Centre de prévention des crises
12147,Cruise Agency,Agence de Croisière
12148,Cruise Line,Croisière
12149,Cuban Restaurant,Restaurant Cubain
12150,Cuisine,Cuisine
12151,Cultural Center,Centre culturel
12152,Cultural Gifts Store,Boutique de cadeaux culturels
12153,Cupcake Shop,Magasin de petits gâteaux
12154,Currency Exchange,Échange de devises
12155,Cycling Studio,Studio de cyclisme
12156,Czech Restaurant,Restaurant tchèque
13000,Dairy Farm,Ferme laitière
13001,Damage Restoration Service,Service de restauration des dommages
13002,Dance & Night Club,Danse et boîte de nuit
13003,Dance School,école de danse
13004,Dance Studio,Studio de danse
13005,Dancer,Danseur
13006,Dating Service,Service de rencontres
13007,Day Care,Garderie
13008,Day Spa,Un jour de spa
13009,Deck & Patio Builder,Constructeur de terrasses et patios
13010,Decorative Arts Museum,Musée des Arts Décoratifs
13011,Defense Company,Compagnie de défense
13012,Degree,Diplôme
13013,Deli,Épicerie
13014,Demolition & Excavation Company,Entreprise de démolition et d'excavation
13015,Dental Equipment,Équipement dentaire
13016,Dentist & Dental Office,Dentiste et cabinet dentaire
13017,Department Store,Grand magasin
13018,Dermatologist,Dermatologue
13019,Desert,Désert
13020,Design & Fashion,Conception et mode
13021,Designer,Designer
13022,Dessert Shop,Boutique de desserts
13023,Dhaba Restaurant,Dhaba Restaurant
13024,Diagnostic Center,Centre de diagnostic
13025,Dialysis Clinic,Clinique de dialyse
13026,Digital Creator,Créateur numérique
13027,Digital/Online Marketing Agency,Agence de marketing numérique/en ligne
13028,Dim Sum Restaurant,Restaurant Dim Sum
13029,Diner,Le dîner
13030,Disability Service,Services aux personnes handicapées
13031,Disc Golf Course,Parcours de golf à disque
13032,Discount Store,Magasin discount
13033,Distillery,Distillerie
13034,Dive Bar,Barre de plongée
13035,Diving Spot,Spot de plongée
13036,Divorce & Family Lawyer,Avocat divorce et famille
13037,DJ,DJ
13038,DMV,DMV
13039,Doctor,Docteur
13040,Dog Breeder,Éleveur de chiens
13041,Dog Day Care Center,Garderie pour chiens
13042,Dog Park,Parc à chien
13043,Dog Trainer,Entraineur de chien
13044,Dog Walker,Promeneur de chien
13045,Dominican Restaurant,Restaurant dominicain
13046,Donburi Restaurant,Donburi Restaurant
13047,Donut Shop,Magasin de Donut
13048,Dorm,Dortoir
13049,Dosa Restaurant,Dosa Restaurant
13050,Drafting Service,Service de rédaction
13051,Drink,Boisson
13052,Drive In Restaurant,Restaurant en voiture
13053,Drive-In Movie Theater,Cinéma Drive-In
13054,Driving Range,Champ d'exercice
13055,Driving School,Auto-école
13056,Drug Addiction Treatment Center,Centre de traitement de la toxicomanie
13057,Dry Cleaner,Teinturier
13058,DUI Lawyer,Avocat DUI
13059,Duty-Free Shop,Boutique hors taxes
14000,E-Cigarette Store,Magasin de cigarettes électroniques
14001,E-commerce Website,Site de commerce électronique
14002,Eastern European Restaurant,Restaurant d'Europe de l'Est
14003,Eastern Orthodox Church,Église orthodoxe orientale
14004,Eco Tour Agency,Agence d'écotourisme
14005,Ecuadorian Restaurant,Restaurant équatorien
14006,Editor,Éditeur
14007,Editorial/Opinion,Éditorial/Opinion
14008,Education,Éducation
14009,Education Company,Entreprise d'éducation
14010,Education Website,Site Web de l'éducation
14011,Education/Work Status,Statut scolaire/professionnel
14012,Educational Consultant,Conseillère pédagogique
14013,Educational Research Center,Centre de recherche pédagogique
14014,Educational Supply Store,Magasin de fournitures scolaires
14015,Egyptian Restaurant,Restaurant égyptien
14016,Electric Utility Provider,Fournisseur de services publics d'électricité
14017,Electrician,Électricien
14018,Electronics,Électronique
14019,Electronics Company,Société d'électronique
14020,Electronics Store,Magasin d'électronique
14021,Elementary School,École primaire
14022,Elevator Service,Service d'ascenseur
14023,Emergency Rescue Service,Service de secours d'urgence
14024,Emergency Roadside Service,Service routier d'urgence
14025,Emergency Room,URGENCES
14026,Emilia Romagna Restaurant,Restaurant Émilie-Romagne
14027,Employment Agency,Agence d'emploi
14028,Endocrinologist,Endocrinologue
14029,Endodontist,Endodontiste
14030,Energy Company,Société d'énergie
14031,Engineering Service,Service d'ingénierie
14032,Entertainment Lawyer,Avocat du divertissement
14033,Entertainment Website,Site Web de divertissement
14034,Entities,Entités
14035,Entrepreneur,Chef d'entreprise
14036,Environmental Conservation Organization,Organisation de protection de l'environnement
14037,Environmental Consultant,Consultant en environnement
14038,Environmental Service,Service de l'environnement
14039,Episcopal Church,Église épiscopale
14040,Episode,Épisode
14041,Equestrian Center,Centre Equestre
14042,Escape Game Room,Salle de jeux d'évasion
14043,Escrow Service,Service d'entiercement
14044,Esports League,Ligue e-sport
14045,Esports Team,Équipe Esports
14046,Estate Planning Lawyer,Avocat en planification successorale
14047,Ethiopian Restaurant,Restaurant éthiopien
14048,Ethnic Grocery Store,Épicerie ethnique
14049,European Restaurant,Restaurant européen
14050,Evangelical Church,Église évangélique
14051,Event,Événement
14052,Event Photographer,Photographe événementiel
14053,Event Planner,Planificateur d'événements
14054,Event Space,Espace événementiel
14055,Event Videographer,Vidéaste événementiel
14056,Exchange Program,Programme d'échange
14057,Exotic Car Rental,Location de voitures exotiques
15000,Fabric Store,Magasin de tissu
15001,Fairground,Champ de foire
15002,Family Doctor,Médecin de famille
15003,Family Medicine Practice,Cabinet de médecine familiale
15004,Family Style Restaurant,Restaurant familial
15005,Family Therapist,Thérapeute familial
15006,Fan Page,Page de fan
15007,Farm,Cultiver
15008,Farmers Market,Marché des fermiers
15009,Fashion,Mode
15010,Fashion Company,Entreprise de mode
15011,Fashion Designer,Styliste modéliste
15012,Fashion Model,Mannequin
15013,Fast Food Restaurant,Restauration rapide
15014,Fence & Gate Contractor,Entrepreneur en clôture et portail
15015,Fencing Club,Club d'escrime
15016,Fertility Doctor,Docteur en fertilité
15017,Fertilizer Company,Entreprise d'engrais
15018,Festival,Festival
15019,Fictional Character,Personnage fictif
15020,Field,Champ
15021,Field of Study,Domaine d'étude
15022,Filipino Restaurant,Restaurant philippin
15023,Film Director,Réalisateur
15024,Finance,Finance
15025,Finance Company,Société financière
15026,Financial Aid Service,Service d'aide financière
15027,Financial Consultant,Conseiller financier
15028,Financial Planner,Planificateur financier
15029,Financial Service,Service financier
15030,Fire Protection Service,Service de protection contre les incendies
15031,Fire Station,Caserne de pompiers
15032,Fireplace Store,Magasin de cheminée
15033,Fireworks Retailer,Détaillant de feux d'artifice
15034,First Aid Class,Cours de premiers soins
15035,Fish & Chips Restaurant,Restaurant de poisson et frites
15036,Fish Farm,Ferme aquacole
15037,Fish Market,Marché aux poissons
15038,Fishing Charter,Charte de pêche
15039,Fishing Spot,Lieu de pêche
15040,Fishing Store,Magasin de pêche
15041,Fitness Boot Camp,Camp d'entraînement de remise en forme
15042,Fitness Model,Modèle de remise en forme
15043,Fitness Trainer,Entraîneur
15044,Fitness Venue,Salle de remise en forme
15045,Fjord/Loch,Fjord/Loch
15046,Flea Market,Marché aux puces
15047,Flight School,École de pilotage
15048,Florist,Fleuriste
15049,Flyboarding Center,Centre de Flyboard
15050,Fondue Restaurant,Restaurant de fondue
15051,Food,Aliments
15052,Food & Beverage,Nourriture & Boissons
15053,Food & Beverage Company,Entreprise d'alimentation et de boissons
15054,Food & Personal Goods,Nourriture & Biens personnels
15055,Food Consultant,Conseiller en alimentation
15056,Food Delivery Service,Service de livraison de nourriture
15057,Food Stand,Stand de restauration
15058,Food Tour Agency,Agence de visites gastronomiques
15059,Food Truck,Camion de nourriture
15060,Food Website,Site Web de l'alimentation
15061,Food Wholesaler,Grossiste alimentaire
15062,Foodservice Distributor,Distributeur de services alimentaires
15063,Football Stadium,Stade de football
15064,Footwear Store,Magasin de chaussures
15065,Forestry & Logging,Foresterie & Exploitation forestière
15066,Forestry Service,Service forestier
15067,Fort,Fort
15068,Franchise Broker,Courtier en franchise
15069,Franchising Service,Service de franchisage
15070,French Restaurant,Restaurant français
15071,Frozen Yogurt Shop,Magasin de yaourt glacé
15072,Fruit & Vegetable Store,Magasin de fruits et légumes
15073,Fujian Restaurant,Restaurant du Fujian
15074,Full Gospel Church,Église du Plein Evangile
15075,Funeral Service & Cemetery,Service funéraire et cimetière
15076,Furniture,Meubles
15077,Furniture Repair & Upholstery Service,Service de réparation et de rembourrage de meubles
15078,Furniture Store,Magasin de meubles
16000,Game Publisher,Éditeur du jeu
16001,Gamer,joueur
16002,Games/Toys,Jeux/Jouets
16003,Gaming Video Creator,Créateur de vidéos de jeu
16004,Garage Door Service,Service de porte de garage
16005,Garden Center,Jardinerie
16006,Gardener,Jardinier
16007,Gas & Chemical Service,Service de gaz et de produits chimiques
16008,Gas Station,Station-essence
16009,Gastroenterologist,Gastro-entérologue
16010,Gastropub,Pub gastronomique
16011,Gay Bar,Bar gay
16012,Gelato Shop,Boutique de glaces
16013,Genealogist,Généalogiste
16014,General Dentist,Dentiste Général
16015,General Interest,Intérêt général
16016,General Litigation,Contentieux général
16017,Geographical Place,Lieu géographique
16018,Geography,Géographie
16019,Geologic Service,Service géologique
16020,Georgian Restaurant,Restaurant géorgien
16021,German Restaurant,Restaurant allemand
16022,Gerontologist,Gérontologue
16023,Gift Shop,Boutique de souvenirs
16024,Glacier,Glacier
16025,Glass & Mirror Shop,Magasin de verre et de miroir
16026,Glass Blower,Souffleur de verre
16027,Glass Manufacturer,Fabricant de verre
16028,Glass Service,Service de verre
16029,Gluten-Free Restaurant,Restaurant sans gluten
16030,Go-Kart Track,Piste de karting
16031,Goan Restaurant,Goa Restaurant
16032,Golf Cart Dealership,Concessionnaire de voiturettes de golf
16033,Golf Course & Country Club,Terrain de golf et country club
16034,Golf Instructor,Professeur de golf
16035,Government Agencies,Organismes gouvernementaux
16036,Government Building,Bâtiment gouvernemental
16037,Government Official,Fonctionnaire du gouvernement
16038,Government Organization,Organisation gouvernementale
16039,Government Website,Site Web du gouvernement
16040,Granite & Marble Supplier,Fournisseur de granite et de marbre
16041,Graphic Designer,Designer graphique
16042,Greek Restaurant,Restaurant grec
16043,Grocery & Convenience Stores,Épiceries et dépanneurs
16044,Grocery Store,Épicerie
16045,Guatemalan Restaurant,Restaurant guatémaltèque
16046,Guizhou Restaurant,Restaurant du Guizhou
16047,Gujarati Restaurant,Restaurant gujarati
16048,Gukbap Restaurant,Restaurant Gukbap
16049,Gun Range,Portée de tir
16050,Gun Store,Magasin d'armes
16051,Gutter Cleaning Service,Service de nettoyage de gouttières
16052,Gym/Physical Fitness Center,Gym/Centre de conditionnement physique
16053,Gymnastics Center,Centre de gymnastique
17000,Hainan Restaurant,Restaurant Hainan
17001,Hair Extensions Service,Service d'extensions de cheveux
17002,Hair Removal Service,Service d'épilation
17003,Hair Replacement Service,Service de remplacement capillaire
17004,Hair Salon,Salon de coiffure
17005,Haitian Restaurant,Restaurant Haïtien
17006,Halal Restaurant,Restaurant halal
17007,Halfway House,Maison de transition
17008,Handyman,Bricoleur
17009,Hang Gliding Center,Centre de deltaplane
17010,Harbor,port
17011,Hardware Store,Quincaillerie
17012,Has no posts.,N'a pas de messages.
17013,Hat Store,Magasin de chapeaux
17014,Haunted House,Maison hantée
17015,Hawaiian Restaurant,Restaurant hawaïen
17016,Health & Wellness Website,Site Web sur la santé et le bien-être
17017,Health Food Restaurant,Restaurant diététique
17018,Health Food Store,Magasin d'aliments naturels
17019,Health Spa,Spa santé
17020,Health/Beauty,Santé & Beauté
17021,Healthcare Administrator,Administrateur de la santé
17022,Heating; Ventilating & Air Conditioning Service,Chauffage; Service de ventilation et de climatisation
17023,Hedge Fund,Fonds de couverture
17024,Heliport,Héliport
17025,Henan Restaurant,Henan Restaurant
17026,Hessian Restaurant,Restaurant de Hesse
17027,High School,Lycée
17028,Highway,Autoroute
